Label (Grouping),Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"        Median earnings (dollars) for full-time, year-round workers with earnings","46,371","59,195","51,213","42,841","61,909","60,971","66,875","56,240","93,855","46,880","50,652","55,162","48,067","57,623","50,440","51,041","50,539","46,955","47,232","51,980","67,093","72,321","52,459","60,099","41,561","50,124","50,162","50,817","50,257","61,197","68,654","48,194","63,356","50,043","51,500","51,775","45,125","55,987","55,875","60,224","46,556","48,477","46,909","51,271","52,998","53,838","60,598","66,440","45,714","52,285","51,046"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","60,921","74,358","70,231","58,070","88,267","80,565","92,691","72,133","118,817","66,304","69,252","69,480","64,742","78,443","64,654","65,548","65,802","61,331","63,220","68,310","86,965","96,611","70,531","78,245","54,056","66,366","66,112","65,390","67,469","79,900","94,453","62,011","89,201","67,841","64,583","67,931","58,670","75,044","74,328","76,348","62,753","64,368","65,099","70,134","73,526","69,433","82,022","90,783","60,915","67,928","65,771"
